Date,Course,ShotCode,Hole #,Shot #,Par
2020-06-27,RiveSud,489t,1,1,5
2020-06-27,RiveSud,267r,1,2,5
2020-06-27,RiveSud,254r,1,3,5
2020-06-27,RiveSud,65r,1,4,5
2020-06-27,RiveSud,15r,1,5,5
2020-06-27,RiveSud,6g,1,6,5
2020-06-27,RiveSud,1g,1,7,5
2020-06-27,RiveSud,367t,2,1,4
2020-06-27,RiveSud,101f,2,2,4
2020-06-27,RiveSud,20s,2,3,4
2020-06-27,RiveSud,20s,2,4,4
2020-06-27,RiveSud,8g,2,5,4
2020-06-27,RiveSud,362t,3,1,4
2020-06-27,RiveSud,258r,3,2,4
2020-06-27,RiveSud,100f,3,3,4
2020-06-27,RiveSud,13s,3,4,4
2020-06-27,RiveSud,12s,3,5,4
2020-06-27,RiveSud,15g,3,6,4
2020-06-27,RiveSud,2g,3,7,4
2020-06-27,RiveSud,392t,4,1,4
2020-06-27,RiveSud,243r,4,2,4
2020-06-27,RiveSud,68r,4,3,4
2020-06-27,RiveSud,7f,4,4,4
2020-06-27,RiveSud,2g,4,5,4
2020-06-27,RiveSud,145t,5,1,3
2020-06-27,RiveSud,6g,5,2,3
2020-06-27,RiveSud,534t,6,1,5
2020-06-27,RiveSud,370r,6,2,5
2020-06-27,RiveSud,140f,6,3,5
2020-06-27,RiveSud,18r,6,4,5
2020-06-27,RiveSud,15r,6,5,5
2020-06-27,RiveSud,20g,6,6,5
2020-06-27,RiveSud,6g,6,7,5
2020-06-27,RiveSud,1g,6,8,5
2020-06-27,RiveSud,327t,7,1,4
2020-06-27,RiveSud,113f,7,2,4
2020-06-27,RiveSud,50r,7,3,4
2020-06-27,RiveSud,8g,7,4,4
2020-06-27,RiveSud,336t,8,1,4
2020-06-27,RiveSud,97f,8,2,4
2020-06-27,RiveSud,10g,8,3,4
2020-06-27,RiveSud,338t,9,1,4
2020-06-27,RiveSud,140rp,9,3,4
2020-06-27,RiveSud,7f,9,4,4
2020-06-27,RiveSud,2g,9,5,4
2020-06-27,RiveSud,495t,10,1,5
2020-06-27,RiveSud,284r,10,2,5
2020-06-27,RiveSud,120r,10,3,5
2020-06-27,RiveSud,14g,10,4,5
2020-06-27,RiveSud,4g,10,5,5
2020-06-27,RiveSud,167t,11,1,3
2020-06-27,RiveSud,110r,11,2,3
2020-06-27,RiveSud,24g,11,3,3
2020-06-27,RiveSud,4g,11,4,3
2020-06-27,RiveSud,339t,12,1,4
2020-06-27,RiveSud,142f,12,2,4
2020-06-27,RiveSud,29s,12,3,4
2020-06-27,RiveSud,2g,12,4,4
2020-06-27,RiveSud,158t,13,1,3
2020-06-27,RiveSud,16f,13,2,3
2020-06-27,RiveSud,5g,13,3,3
2020-06-27,RiveSud,435t,14,1,5
2020-06-27,RiveSud,255r,14,2,5
2020-06-27,RiveSud,59f,14,3,5
2020-06-27,RiveSud,18g,14,4,5
2020-06-27,RiveSud,4g,14,5,5
2020-06-27,RiveSud,377t,15,1,4
2020-06-27,RiveSud,160rp,15,3,4
2020-06-27,RiveSud,96r,15,4,4
2020-06-27,RiveSud,10f,15,5,4
2020-06-27,RiveSud,3g,15,6,4
2020-06-27,RiveSud,381t,16,1,4
2020-06-27,RiveSud,150r,16,2,4
2020-06-27,RiveSud,58r,16,3,4
2020-06-27,RiveSud,12g,16,4,4
2020-06-27,RiveSud,2g,16,5,4
2020-06-27,RiveSud,182t,17,1,3
2020-06-27,RiveSud,54f,17,2,3
2020-06-27,RiveSud,15g,17,3,3
2020-06-27,RiveSud,3g,17,4,3
2020-06-27,RiveSud,402t,18,1,4
2020-06-27,RiveSud,151s,18,2,4
2020-06-27,RiveSud,15f,18,3,4
2020-06-27,RiveSud,4g,18,4,4
2020-07-03,RiveSud,489t,1,1,5
2020-07-03,RiveSud,290r,1,2,5
2020-07-03,RiveSud,235f,1,3,5
2020-07-03,RiveSud,65f,1,4,5
2020-07-03,RiveSud,15g,1,5,5
2020-07-03,RiveSud,1g,1,6,5
2020-07-03,RiveSud,367t,2,1,4
2020-07-03,RiveSud,138f,2,2,4
2020-07-03,RiveSud,8f,2,3,4
2020-07-03,RiveSud,10g,2,4,4
2020-07-03,RiveSud,1g,2,5,4
2020-07-03,RiveSud,362t,3,1,4
2020-07-03,RiveSud,143r,3,2,4
2020-07-03,RiveSud,33r,3,3,4
2020-07-03,RiveSud,4g,3,4,4
2020-07-03,RiveSud,1g,3,5,4
2020-07-03,RiveSud,392t,4,1,4
2020-07-03,RiveSud,158f,4,2,4
2020-07-03,RiveSud,27r,4,3,4
2020-07-03,RiveSud,14g,4,4,4
2020-07-03,RiveSud,1g,4,5,4
2020-07-03,RiveSud,145t,5,1,3
2020-07-03,RiveSud,10r,5,2,3
2020-07-03,RiveSud,9g,5,3,3
2020-07-03,RiveSud,1g,5,4,3
2020-07-03,RiveSud,534t,6,1,5
2020-07-03,RiveSud,315r,6,2,5
2020-07-03,RiveSud,160f,6,3,5
2020-07-03,RiveSud,20g,6,4,5
2020-07-03,RiveSud,4g,6,5,5
2020-07-03,RiveSud,327t,7,1,4
2020-07-03,RiveSud,230r,7,2,4
2020-07-03,RiveSud,75r,7,3,4
2020-07-03,RiveSud,33g,7,4,4
2020-07-03,RiveSud,336t,8,1,4
2020-07-03,RiveSud,130f,8,2,4
