Code,Distance,Description,PGA,Par,90,100
1t,1,Around the Green (0 - 20 yds),1.263,1.328,1.659,1.844
2t,2,Around the Green (0 - 20 yds),1.554,1.633,2.042,2.269
3t,3,Around the Green (0 - 20 yds),1.767,1.857,2.322,2.58
4t,4,Around the Green (0 - 20 yds),1.911,2.009,2.511,2.79
5t,5,Around the Green (0 - 20 yds),1.991,2.093,2.616,2.907
6t,6,Around the Green (0 - 20 yds),2.05,2.155,2.693,2.993
7t,7,Around the Green (0 - 20 yds),2.09,2.197,2.746,3.051
8t,8,Around the Green (0 - 20 yds),2.128,2.237,2.796,3.107
9t,9,Around the Green (0 - 20 yds),2.162,2.272,2.841,3.156
10t,10,Around the Green (0 - 20 yds),2.18,2.291,2.864,3.182
11t,11,Around the Green (0 - 20 yds),2.216,2.329,2.912,3.235
12t,12,Around the Green (0 - 20 yds),2.242,2.357,2.946,3.273
13t,13,Around the Green (0 - 20 yds),2.262,2.378,2.972,3.302
14t,14,Around the Green (0 - 20 yds),2.287,2.404,3.005,3.339
15t,15,Around the Green (0 - 20 yds),2.31,2.428,3.035,3.372
16t,16,Around the Green (0 - 20 yds),2.33,2.449,3.061,3.401
17t,17,Around the Green (0 - 20 yds),2.351,2.471,3.089,3.432
18t,18,Around the Green (0 - 20 yds),2.358,2.478,3.098,3.442
19t,19,Around the Green (0 - 20 yds),2.373,2.494,3.118,3.464
20t,20,Around the Green (0 - 20 yds),2.4,2.523,3.153,3.504
21t,21,Pitching (21 - 80 yds),2.416,2.539,3.174,3.527
22t,22,Pitching (21 - 80 yds),2.427,2.551,3.189,3.543
23t,23,Pitching (21 - 80 yds),2.439,2.564,3.205,3.561
24t,24,Pitching (21 - 80 yds),2.45,2.575,3.219,3.577
25t,25,Pitching (21 - 80 yds),2.46,2.586,3.232,3.591
26t,26,Pitching (21 - 80 yds),2.471,2.597,3.247,3.607
27t,27,Pitching (21 - 80 yds),2.483,2.61,3.262,3.625
28t,28,Pitching (21 - 80 yds),2.494,2.621,3.277,3.641
29t,29,Pitching (21 - 80 yds),2.507,2.635,3.294,3.66
30t,30,Pitching (21 - 80 yds),2.52,2.649,3.311,3.679
31t,31,Pitching (21 - 80 yds),2.526,2.655,3.319,3.688
32t,32,Pitching (21 - 80 yds),2.531,2.66,3.325,3.695
33t,33,Pitching (21 - 80 yds),2.537,2.667,3.333,3.704
34t,34,Pitching (21 - 80 yds),2.543,2.673,3.341,3.712
35t,35,Pitching (21 - 80 yds),2.549,2.679,3.349,3.721
36t,36,Pitching (21 - 80 yds),2.554,2.684,3.356,3.728
37t,37,Pitching (21 - 80 yds),2.56,2.691,3.364,3.737
38t,38,Pitching (21 - 80 yds),2.566,2.697,3.371,3.746
39t,39,Pitching (21 - 80 yds),2.571,2.702,3.378,3.753
40t,40,Pitching (21 - 80 yds),2.577,2.709,3.386,3.762
41t,41,Pitching (21 - 80 yds),2.583,2.715,3.394,3.771
42t,42,Pitching (21 - 80 yds),2.589,2.721,3.402,3.78
43t,43,Pitching (21 - 80 yds),2.594,2.727,3.408,3.787
44t,44,Pitching (21 - 80 yds),2.6,2.733,3.416,3.796
45t,45,Pitching (21 - 80 yds),2.606,2.739,3.424,3.804
46t,46,Pitching (21 - 80 yds),2.611,2.744,3.431,3.812
47t,47,Pitching (21 - 80 yds),2.617,2.751,3.438,3.82
48t,48,Pitching (21 - 80 yds),2.623,2.757,3.446,3.829
49t,49,Pitching (21 - 80 yds),2.629,2.763,3.454,3.838
50t,50,Pitching (21 - 80 yds),2.634,2.769,3.461,3.845
51t,51,Pitching (21 - 80 yds),2.64,2.775,3.469,3.854
52t,52,Pitching (21 - 80 yds),2.646,2.781,3.476,3.863
53t,53,Pitching (21 - 80 yds),2.651,2.786,3.483,3.87
54t,54,Pitching (21 - 80 yds),2.657,2.793,3.491,3.879
55t,55,Pitching (21 - 80 yds),2.663,2.799,3.499,3.888
56t,56,Pitching (21 - 80 yds),2.669,2.805,3.507,3.896
57t,57,Pitching (21 - 80 yds),2.674,2.811,3.513,3.904
58t,58,Pitching (21 - 80 yds),2.68,2.817,3.521,3.912
59t,59,Pitching (21 - 80 yds),2.686,2.823,3.529,3.921
60t,60,Pitching (21 - 80 yds),2.691,2.828,3.536,3.928
61t,61,Pitching (21 - 80 yds),2.697,2.835,3.544,3.937
62t,62,Pitching (21 - 80 yds),2.703,2.841,3.551,3.946
63t,63,Pitching (21 - 80 yds),2.709,2.847,3.559,3.955
64t,64,Pitching (21 - 80 yds),2.714,2.853,3.566,3.962
65t,65,Pitching (21 - 80 yds),2.72,2.859,3.574,3.971
66t,66,Pitching (21 - 80 yds),2.726,2.865,3.582,3.98
67t,67,Pitching (21 - 80 yds),2.731,2.871,3.588,3.987
68t,68,Pitching (21 - 80 yds),2.737,2.877,3.596,3.996
69t,69,Pitching (21 - 80 yds),2.743,2.883,3.604,4.004
70t,70,Pitching (21 - 80 yds),2.749,2.889,3.612,4.013
71t,71,Pitching (21 - 80 yds),2.754,2.895,3.618,4.02
72t,72,Pitching (21 - 80 yds),2.76,2.901,3.626,4.029
73t,73,Pitching (21 - 80 yds),2.766,2.907,3.634,4.038
74t,74,Pitching (21 - 80 yds),2.771,2.913,3.641,4.045
75t,75,Pitching (21 - 80 yds),2.777,2.919,3.649,4.054
76t,76,Pitching (21 - 80 yds),2.783,2.925,3.656,4.063
77t,77,Pitching (21 - 80 yds),2.789,2.932,3.664,4.072
78t,78,Pitching (21 - 80 yds),2.794,2.937,3.671,4.079
79t,79,Pitching (21 - 80 yds),2.8,2.943,3.679,4.088
80t,80,Pitching (21 - 80 yds),2.806,2.949,3.687,4.096
81t,81,Short Approach (81 - 125 yds),2.811,2.955,3.693,4.104
82t,82,Short Approach (81 - 125 yds),2.817,2.961,3.701,4.112
83t,83,Short Approach (81 - 125 yds),2.823,2.967,3.709,4.121
84t,84,Short Approach (81 - 125 yds),2.829,2.974,3.717,4.13
85t,85,Short Approach (81 - 125 yds),2.834,2.979,3.724,4.137
86t,86,Short Approach (81 - 125 yds),2.84,2.985,3.731,4.146
87t,87,Short Approach (81 - 125 yds),2.846,2.991,3.739,4.155
88t,88,Short Approach (81 - 125 yds),2.851,2.997,3.746,4.162
89t,89,Short Approach (81 - 125 yds),2.857,3.003,3.754,4.171
90t,90,Short Approach (81 - 125 yds),2.863,3.009,3.762,4.18
91t,91,Short Approach (81 - 125 yds),2.869,3.016,3.769,4.188
92t,92,Short Approach (81 - 125 yds),2.874,3.021,3.776,4.196
93t,93,Short Approach (81 - 125 yds),2.88,3.027,3.784,4.204
94t,94,Short Approach (81 - 125 yds),2.886,3.033,3.792,4.213
95t,95,Short Approach (81 - 125 yds),2.891,3.039,3.798,4.22
96t,96,Short Approach (81 - 125 yds),2.897,3.045,3.806,4.229
97t,97,Short Approach (81 - 125 yds),2.903,3.051,3.814,4.238
98t,98,Short Approach (81 - 125 yds),2.909,3.058,3.822,4.247
99t,99,Short Approach (81 - 125 yds),2.914,3.063,3.829,4.254
100t,100,Short Approach (81 - 125 yds),2.92,3.069,3.836,4.263
101t,101,Short Approach (81 - 125 yds),2.924,3.073,3.842,4.269
102t,102,Short Approach (81 - 125 yds),2.927,3.077,3.846,4.273
103t,103,Short Approach (81 - 125 yds),2.931,3.081,3.851,4.279
104t,104,Short Approach (81 - 125 yds),2.934,3.084,3.855,4.283
105t,105,Short Approach (81 - 125 yds),2.938,3.088,3.86,4.289
106t,106,Short Approach (81 - 125 yds),2.941,3.091,3.864,4.293
107t,107,Short Approach (81 - 125 yds),2.945,3.095,3.869,4.299
108t,108,Short Approach (81 - 125 yds),2.948,3.099,3.873,4.304
109t,109,Short Approach (81 - 125 yds),2.952,3.103,3.879,4.309
110t,110,Short Approach (81 - 125 yds),2.955,3.106,3.882,4.314
111t,111,Short Approach (81 - 125 yds),2.959,3.11,3.888,4.32
112t,112,Short Approach (81 - 125 yds),2.962,3.113,3.892,4.324
113t,113,Short Approach (81 - 125 yds),2.966,3.118,3.897,4.33
114t,114,Short Approach (81 - 125 yds),2.969,3.121,3.901,4.334
115t,115,Short Approach (81 - 125 yds),2.973,3.125,3.906,4.34
116t,116,Short Approach (81 - 125 yds),2.976,3.128,3.91,4.345
117t,117,Short Approach (81 - 125 yds),2.98,3.132,3.915,4.35
118t,118,Short Approach (81 - 125 yds),2.983,3.135,3.919,4.355
119t,119,Short Approach (81 - 125 yds),2.987,3.14,3.925,4.361
120t,120,Short Approach (81 - 125 yds),2.99,3.143,3.928,4.365
121t,121,Short Approach (81 - 125 yds),2.989,3.142,3.927,4.364
122t,122,Short Approach (81 - 125 yds),2.988,3.141,3.926,4.362
123t,123,Short Approach (81 - 125 yds),2.987,3.14,3.925,4.361
124t,124,Short Approach (81 - 125 yds),2.986,3.139,3.923,4.359
125t,125,Short Approach (81 - 125 yds),2.985,3.138,3.922,4.358
126t,126,Medium Approach (126 - 175 yds),2.984,3.136,3.921,4.356
127t,127,Medium Approach (126 - 175 yds),2.983,3.135,3.919,4.355
128t,128,Medium Approach (126 - 175 yds),2.982,3.134,3.918,4.353
129t,129,Medium Approach (126 - 175 yds),2.981,3.133,3.917,4.352
130t,130,Medium Approach (126 - 175 yds),2.98,3.132,3.915,4.35
131t,131,Medium Approach (126 - 175 yds),2.979,3.131,3.914,4.349
132t,132,Medium Approach (126 - 175 yds),2.978,3.13,3.913,4.347
133t,133,Medium Approach (126 - 175 yds),2.977,3.129,3.911,4.346
134t,134,Medium Approach (126 - 175 yds),2.976,3.128,3.91,4.345
135t,135,Medium Approach (126 - 175 yds),2.975,3.127,3.909,4.343
136t,136,Medium Approach (126 - 175 yds),2.974,3.126,3.907,4.342
137t,137,Medium Approach (126 - 175 yds),2.973,3.125,3.906,4.34
138t,138,Medium Approach (126 - 175 yds),2.972,3.124,3.905,4.339
139t,139,Medium Approach (126 - 175 yds),2.971,3.123,3.904,4.337
