,Date,Course,ShotCode,Hole #,Shot #,Par,ShotType,PGA Avg,StrokesGained
0,27-Jun,RiveSud,489t,1,1,5,Drive,4.3389999999999995,-0.4330000000000003
1,27-Jun,RiveSud,267r,1,2,5,Long (+231 yds),3.772,-0.9380000000000002
2,27-Jun,RiveSud,254r,1,3,5,Long (+231 yds),3.71,-0.21300000000000008
3,27-Jun,RiveSud,65r,1,4,5,Approach (21 - 100 yds),2.923,-0.5720000000000001
4,27-Jun,RiveSud,15r,1,5,5,Around the Green (0 - 20 yds),2.495,0.15500000000000003
5,27-Jun,RiveSud,6g,1,6,5,Putting,1.34,-0.6599999999999999
6,27-Jun,RiveSud,1g,1,7,5,Putting,1.0,0.0
7,27-Jun,RiveSud,367t,2,1,4,Drive,3.9339999999999997,0.13099999999999978
8,27-Jun,RiveSud,101f,2,2,4,Approach (101 - 230 yds),2.803,-0.7269999999999999
9,27-Jun,RiveSud,20s,2,3,4,Bunker,2.53,-1.0
10,27-Jun,RiveSud,20s,2,4,4,Bunker,2.53,0.029999999999999805
11,27-Jun,RiveSud,8g,2,5,4,Putting,1.5,0.5
12,27-Jun,RiveSud,362t,3,1,4,Drive,3.924,-0.806
13,27-Jun,RiveSud,258r,3,2,4,Long (+231 yds),3.73,-0.08499999999999996
14,27-Jun,RiveSud,100f,3,3,4,Approach (21 - 100 yds),2.815,-0.6580000000000004
15,27-Jun,RiveSud,13s,3,4,4,Bunker,2.4730000000000003,-0.9969999999999999
16,27-Jun,RiveSud,12s,3,5,4,Bunker,2.47,-0.32499999999999973
17,27-Jun,RiveSud,15g,3,6,4,Putting,1.795,-0.21500000000000008
18,27-Jun,RiveSud,2g,3,7,4,Putting,1.01,0.010000000000000009
19,27-Jun,RiveSud,392t,4,1,4,Drive,3.978,-0.6769999999999996
20,27-Jun,RiveSud,243r,4,2,4,Long (+231 yds),3.655,-0.27500000000000036
21,27-Jun,RiveSud,68r,4,3,4,Approach (21 - 100 yds),2.93,-0.1599999999999997
22,27-Jun,RiveSud,7f,4,4,4,Around the Green (0 - 20 yds),2.09,0.07999999999999985
23,27-Jun,RiveSud,2g,4,5,4,Putting,1.01,0.010000000000000009
24,27-Jun,RiveSud,145t,5,1,3,Approach (101 - 230 yds),2.975,0.635
25,27-Jun,RiveSud,6g,5,2,3,Putting,1.34,0.3400000000000001
26,27-Jun,RiveSud,534t,6,1,5,Drive,4.617,-0.5430000000000001
27,27-Jun,RiveSud,370r,6,2,5,Long (+231 yds),4.16,0.25
28,27-Jun,RiveSud,140f,6,3,5,Approach (101 - 230 yds),2.91,-0.6359999999999997
29,27-Jun,RiveSud,18r,6,4,5,Around the Green (0 - 20 yds),2.546,-0.9490000000000003
30,27-Jun,RiveSud,15r,6,5,5,Around the Green (0 - 20 yds),2.495,-0.375
31,27-Jun,RiveSud,20g,6,6,5,Putting,1.87,-0.47
32,27-Jun,RiveSud,6g,6,7,5,Putting,1.34,-0.6599999999999999
33,27-Jun,RiveSud,1g,6,8,5,Putting,1.0,0.0
34,27-Jun,RiveSud,327t,7,1,4,Drive,3.815,-0.018000000000000238
35,27-Jun,RiveSud,113f,7,2,4,Approach (101 - 230 yds),2.833,-1.012
36,27-Jun,RiveSud,50r,7,3,4,Approach (21 - 100 yds),2.845,0.3450000000000002
37,27-Jun,RiveSud,8g,7,4,4,Putting,1.5,0.5
38,27-Jun,RiveSud,336t,8,1,4,Drive,3.846,0.040000000000000036
39,27-Jun,RiveSud,97f,8,2,4,Approach (21 - 100 yds),2.806,0.19599999999999995
40,27-Jun,RiveSud,10g,8,3,4,Putting,1.61,0.6100000000000001
41,27-Jun,RiveSud,338t,9,1,4,Drive,3.853,-1.2969999999999997
42,27-Jun,RiveSud,140rp,9,3,4,Approach (101 - 230 yds),3.15,0.06000000000000005
43,27-Jun,RiveSud,7f,9,4,4,Around the Green (0 - 20 yds),2.09,0.07999999999999985
44,27-Jun,RiveSud,2g,9,5,4,Putting,1.01,0.010000000000000009
45,27-Jun,RiveSud,495t,10,1,5,Drive,4.378,-0.46599999999999975
46,27-Jun,RiveSud,284r,10,2,5,Long (+231 yds),3.844,-0.2360000000000002
47,27-Jun,RiveSud,120r,10,3,5,Approach (101 - 230 yds),3.08,0.30000000000000004
48,27-Jun,RiveSud,14g,10,4,5,Putting,1.78,0.78
49,27-Jun,RiveSud,167t,11,1,3,Approach (101 - 230 yds),3.011,-1.0389999999999997
50,27-Jun,RiveSud,110r,11,2,3,Approach (101 - 230 yds),3.05,0.13599999999999968
51,27-Jun,RiveSud,24g,11,3,3,Putting,1.9140000000000001,-0.22599999999999976
52,27-Jun,RiveSud,4g,11,4,3,Putting,1.14,0.1399999999999999
53,27-Jun,RiveSud,339t,12,1,4,Drive,3.8569999999999998,-0.06000000000000005
54,27-Jun,RiveSud,142f,12,2,4,Approach (101 - 230 yds),2.917,-0.7280000000000002
55,27-Jun,RiveSud,29s,12,3,4,Bunker,2.645,-0.1499999999999999
56,27-Jun,RiveSud,15g,12,4,4,Putting,1.795,-0.21500000000000008
57,27-Jun,RiveSud,2g,12,5,4,Putting,1.01,0.010000000000000009
58,27-Jun,RiveSud,161t,13,1,3,Approach (101 - 230 yds),2.9930000000000003,-0.33699999999999974
59,27-Jun,RiveSud,16f,13,2,3,Around the Green (0 - 20 yds),2.33,0.09000000000000008
60,27-Jun,RiveSud,5g,13,3,3,Putting,1.24,0.24
61,27-Jun,RiveSud,435t,14,1,5,Drive,4.065,-0.6499999999999995
62,27-Jun,RiveSud,255r,14,2,5,Long (+231 yds),3.715,0.02899999999999947
63,27-Jun,RiveSud,59f,14,3,5,Approach (21 - 100 yds),2.6860000000000004,-0.1539999999999997
64,27-Jun,RiveSud,18g,14,4,5,Putting,1.84,-0.2999999999999998
65,27-Jun,RiveSud,4g,14,5,5,Putting,1.14,0.1399999999999999
66,27-Jun,RiveSud,377t,15,1,4,Drive,3.9539999999999997,-1.2760000000000002
67,27-Jun,RiveSud,160rp,15,3,4,Approach (101 - 230 yds),3.23,-0.778
68,27-Jun,RiveSud,96r,15,4,4,Approach (21 - 100 yds),3.008,-0.17200000000000015
69,27-Jun,RiveSud,10f,15,5,4,Around the Green (0 - 20 yds),2.18,0.13000000000000012
70,27-Jun,RiveSud,3g,15,6,4,Putting,1.05,0.050000000000000044
71,27-Jun,RiveSud,381t,16,1,4,Drive,3.9619999999999997,-0.2280000000000002
72,27-Jun,RiveSud,150r,16,2,4,Approach (101 - 230 yds),3.19,-0.7069999999999999
73,27-Jun,RiveSud,58r,16,3,4,Approach (21 - 100 yds),2.897,0.18699999999999983
74,27-Jun,RiveSud,12g,16,4,4,Putting,1.71,-0.30000000000000004
75,27-Jun,RiveSud,2g,16,5,4,Putting,1.01,0.010000000000000009
